NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",372047,374970,378472,380796,380402,383072,382930,383822,387402,390299,391571,391744,
,Retail sales and food services excl motor vehicle and parts ,305664,307653,310989,313779,314480,316434,316459,317983,318639,320474,321416,320201,
,"Retail sales, total",332559,334544,337858,340212,339352,341532,341414,342104,345346,348095,349379,349798,
,"Retail sales, total (excl. motor vehicle and parts dealers)",266176,267227,270375,273195,273430,274894,274943,276265,276583,278270,279224,278255,
,GAFO(1),93777,94926,95716,96442,95764,96569,96181,96284,97500,97186,97323,97193,
442,Furniture and home furnishings stores,6992,7145,7404,7313,7245,7234,7263,7333,7391,7303,7371,7518,
4451,Grocery stores,44684,44912,45068,45769,45365,45746,45842,46034,45840,46047,46185,46035,
44611,Pharmacies and drug stores,19368,19111,19234,19058,19312,19332,19293,19384,19348,19419,19394,19282,
4481,Clothing stores,13464,13707,13793,13836,13815,14045,13975,13765,14271,14060,14340,14408,
45291,Warehouse clubs and supercenters,31258,31474,31682,31976,32001,32106,32337,32402,32745,32690,32653,32659,
