NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",435929,434153,442225,442183,446238,446238,449403,449592,449496,448616,450509,452756,5347338
,Retail sales and food services excl motor vehicle and parts,347725,347963,351836,351592,354362,354580,357861,357502,356466,356001,357186,359507,4252581
,"Retail sales, total",385630,383816,391247,390624,394564,394465,397256,397197,397083,395853,397463,398762,4723960
,"Retail sales, total (excl. motor vehicle and parts dealers)",297426,297626,300858,300033,302688,302807,305714,305107,304053,303238,304140,305513,3629203
,GAFO(1),103986,103442,104559,104187,105410,104945,105355,105277,105560,104996,105276,105895,1258888
442,Furniture and home furnishings stores,8602,8421,8734,8828,9043,8852,9003,8985,8938,9056,9037,9144,106643
4451,Grocery stores,51014,51030,51024,50885,50940,51063,51145,51226,51255,51150,51460,51329,613521
44611,Pharmacies and drug stores,21581,21293,21836,21610,21585,21657,21857,21994,22492,22429,22484,22668,263486
4481,Clothing stores,15291,15513,15701,15651,15872,15643,15688,15697,15648,15452,15608,15430,187194
45291,Warehouse clubs and superstores,36688,36172,36350,36378,36691,36795,36997,36880,37399,37005,37101,37519,441975
