NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",336918,335698,329947,331313,334315,339535,340229,346657,338427,341578,344579,346215,
,Retail sales and food services excl motor vehicle and parts ,281076,281525,276847,277859,280148,282892,282508,284371,284872,285062,287206,289276,
,"Retail sales, total",298823,297795,292427,293575,296560,301858,302514,309012,300953,304078,306799,308518,
,"Retail sales, total (excl. motor vehicle and parts dealers)",242981,243622,239327,240121,242393,245215,244793,246726,247398,247562,249426,251579,
,GAFO(1),92404,92227,89808,90312,90646,90085,90045,90686,90674,91132,90591,91221,
442,Furniture and home furnishings stores,7363,7293,7055,7067,7087,7092,7047,6984,6981,6915,6997,7023,
4451,Grocery stores,42728,42055,42069,42246,42340,42487,42480,42401,42691,42763,42808,43192,
44611,Pharmacies and drug stores,17670,17943,18015,18153,18146,18089,18120,18092,18320,18327,18315,18193,
4481,Clothing stores,12807,12969,12239,12461,12658,12389,12581,12765,12692,12882,12645,12585,
45291,Warehouse clubs and supercenters,29613,29669,29404,29311,29404,29421,29343,29447,29627,29997,29573,30128,
