NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",363520,364090,367414,366280,370867,368080,369500,371019,372936,375217,378481,375256,
,Retail sales and food services excl motor vehicle and parts ,288029,288249,291892,290075,293827,293205,294580,294470,295841,297501,302567,301827,
,"Retail sales, total",327125,328076,330800,329653,334135,331002,332228,333830,335509,337458,340872,336844,
,"Retail sales, total (excl. motor vehicle and parts dealers)",251634,252235,255278,253448,257095,256127,257308,257281,258414,259742,264958,263415,
,GAFO(1),95297,93858,95596,94514,95073,94782,95745,95776,95368,95569,96736,96544,
442,Furniture and home furnishings stores,9609,9380,9406,9430,9331,9245,9325,9300,9132,9142,9102,9002,
4451,Grocery stores,40253,40646,40572,40416,40740,40911,41044,40954,41137,41379,41868,41998,
44611,Pharmacies and drug stores,16668,16620,16723,16733,16792,16868,16949,16975,17003,16942,16950,17084,
4481,Clothing stores,13518,13294,13703,13260,13540,13436,13510,13465,13440,13453,13654,13576,
45291,Warehouse clubs and supercenters,26269,26094,26651,26661,26683,26908,27171,27424,27382,27450,27897,28379,

