NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
447,Gasoline stations,29986,27961,32373,33975,37337,38499,38162,37157,36316,37284,34212,35465,418727
448,Clothing and clothing access. stores,15627,18834,21350,20311,21494,19977,20487,22248,19649,20385,23529,34520,258411
4481,Clothing stores,11494,13005,15734,14833,15447,14746,15054,15893,14540,15216,17381,23361,186704
44811,Men's clothing stores,560,622,707,734,777,725,640,680,698,712,757,1037,8649
44812,Women's clothing stores,2481,2925,3644,3534,3569,3202,3095,3343,3134,3251,3674,4677,40529
44814,Family clothing stores,5962,6722,8285,7795,8256,7969,8430,8545,7808,8401,9429,12947,100549
44819,Other clothing stores,1194,1279,1377,1266,1220,1285,1201,1397,1230,1144,1476,1940,16009
4482,Shoe stores,2112,2854,3164,2850,2888,2719,3008,3834,2733,2693,3021,4254,36130
44831,Jewelry stores,1850,2762,2239,2400,2924,2324,2223,2327,2185,2277,2906,6501,32918
451,"Sporting goods, hobby, book, and music stores",6590,6014,7084,6687,6874,7363,7089,8009,6931,6460,7754,11677,88532
45111,Sporting goods stores,3012,3133,3939,3676,3812,4474,4159,4140,3442,3253,3705,5585,46330
45112,"Hobby, toy, and game stores",1203,1235,1391,1268,1263,1210,1264,1267,1348,1467,2298,3537,18751
451211,Book stores,1451,710,708,701,774,710,686,1564,1083,717,744,1288,11136
452,General merchandise stores,49168,51196,55829,53481,56308,55016,55263,55753,51432,55038,61190,76128,675802
4521,Department stores (excl. L.D),10161,11151,12580,11868,12492,12243,11771,12551,11299,11809,15115,21612,154652
452112,Discount dept. stores (excl. L.D),6796,7093,8151,7430,7886,7913,7706,8409,7154,7631,9291,12771,98231
452111,"Department stores(excl. discount department stores, excl. L.D.)",3365,4058,4429,4438,4606,4330,4065,4142,4145,4178,5824,8841,56421
4521,Department stores (incl. L.D.)(2),10350,11358,12981,12159,12816,12488,11967,12941,11401,12043,15631,22720,158855
452112,Discount dept. stores (incl. L.D.)(2),6826,7125,8352,7516,7993,7949,7742,8644,7212,7712,9628,13583,100282
452111,"Department stores(excl. discount department stores, incl. L.D.)(2)",3524,4233,4629,4643,4823,4539,4225,4297,4189,4331,6003,9137,58573
4529,Other general merchandise stores,39007,40045,43249,41613,43816,42773,43492,43202,40133,43229,46075,54516,521150
45291,Warehouse clubs and superstores,34058,34630,37289,36037,37833,36889,37751,37533,34555,37401,39817,46758,450551
45299,All other gen. merchandise stores,4949,5415,5960,5576,5983,5884,5741,5669,5578,5828,6258,7758,70599
453,Miscellaneous store retailers,8596,8974,10060,10154,11201,10916,10551,10938,10755,11185,10474,12105,125909
4532,"Office supplies, stationery, and gift stores",2278,2258,2394,2392,2536,2403,2526,2984,2580,2601,2413,3454,30819
45321,Office supplies and stationery stores,1246,1136,1170,1098,1059,981,1025,1543,1250,1031,1006,1168,13713
45322,"Gift, novelty, and souvenir stores",1032,1122,1224,1294,1477,1422,1501,1441,1330,1570,1407,2286,17106
45330,Used merchandise stores,1240,1276,1380,1394,1401,1361,1451,1510,1497,1625,1555,1524,17214
454,Nonstore retailers,41628,41789,45476,43288,44970,44714,43107,46147,44910,45867,55144,68911,565951
4541,Electronic shopping and mail-order houses,34735,34943,38819,37272,38847,38747,37763,40556,39148,39757,48837,61433,490857
45431,Fuel dealers,3277,3093,2380,1829,1578,1374,1254,1375,1515,1933,2264,3346,25218
722,Food services and drinking places,50279,51782,56193,56726,57466,55038,56392,55467,54452,55793,53193,57295,660076
7221,Full service restaurants,22857,23438,24964,24961,25067,23728,24465,23859,22887,23810,22820,25906,288762
7222,Limited service eating places,21500,22059,24555,24422,25103,24619,25373,25015,23629,24218,23380,24208,288081
7224,Drinking places,1878,1861,2019,1978,2016,1880,2038,1986,2057,2151,2003,2147,24014
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
