NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",402645,416044,461954,452609,471434,465901,463245,473169,449948,454601,469324,542055,5522929
,Retail sales and food services excl motor vehicle and parts,322632,326827,361902,355999,373630,368464,364485,369961,355177,362421,379648,441641,4382787
,"Retail sales, total",352366,364262,405761,395883,413968,410863,406853,417702,395496,398808,416131,484760,4862853
,"Retail sales, total (excl. motor vehicle and parts dealers)",272353,275045,305709,299273,316164,313426,308093,314494,300725,306628,326455,384346,3722711
,GAFO(1),89294,94376,103723,98468,103642,101449,102144,106629,97783,100902,114530,148733,1261673
441,Motor vehicle and parts dealers,80013,89217,100052,96610,97804,97437,98760,103208,94771,92180,89676,100414,1140142
"4411,4412",Automobile and other motor vehicle dealers,73229,82062,92044,89102,90188,89462,91198,95198,87280,84601,82422,92974,1049760
4411,Automobile dealers,69698,77524,85511,82274,83195,82261,84788,89066,81813,79793,78103,88553,982579
44111,New car dealers,62008,67182,75491,73115,74647,73311,76002,79744,73377,71001,70261,80130,876269
44112,Used car dealers,7690,10342,10020,9159,8548,8950,8786,9322,8436,8792,7842,8423,106310
4413,"Automotive parts, acc., and tire stores",6784,7155,8008,7508,7616,7975,7562,8010,7491,7579,7254,7440,90382
442443,"Furniture, home furn, electronics, and appliance stores",15631,16074,17066,15597,16430,16690,16779,17635,17191,16418,19644,22954,208109
442,Furniture and home furnishings stores,8166,8363,9233,8632,8964,9067,9124,9513,9483,9031,9967,10966,110509
4421,Furniture stores,4498,4710,5069,4653,4859,4881,4863,4958,5107,4735,5096,5131,58560
4422,Home furnishings stores,3668,3653,4164,3979,4105,4186,4261,4555,4376,4296,4871,5835,51949
44221,Floor covering stores,1380,1415,1670,1615,1635,1759,1688,1820,1762,1710,1659,1641,19754
442299,All other home furnishings stores,2161,2112,2333,2195,2331,2280,2421,2595,2446,2426,3062,4048,30410
443,Electronics and appliance stores,7465,7711,7833,6965,7466,7623,7655,8122,7708,7387,9677,11988,97600
44311,"Appl.,TV, and other elect. stores",5257,5581,5684,5169,5490,5661,5770,6100,5710,5294,6909,8200,70825
443111,Household appliance stores,1210,1304,1360,1279,1397,1468,1417,1415,1416,1291,1513,1489,16559
443112,"Radio, T.V., and other elect. stores",4047,4277,4324,3890,4093,4193,4353,4685,4294,4003,5396,6711,54266
44312,Computer and software stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
444,Building mat. and garden equip. and supplies dealers,21975,23157,29874,32342,34608,34196,30194,30078,29046,28834,28896,27311,350511
4441,Building mat. and supplies dealers,19685,20615,25519,26944,28911,29180,26873,26967,25967,25669,25862,23964,306156
44412,Paint and wallpaper stores,685,764,943,956,996,1106,1017,1085,1021,968,870,776,11187
44413,Hardware stores,1672,1679,2026,2056,2158,2103,1965,1996,1852,1958,1835,2010,23310
445,Food and beverage stores,56978,54204,58170,56375,59344,58603,59897,58607,57354,58550,58887,64583,701552
4451,Grocery stores,51824,48804,52336,50627,53132,52381,53385,52414,51268,52424,52431,55955,626981
44511,Supermarkets and other grocery (except convenience) stores,49890,46879,50188,48482,50821,50026,50866,49988,48981,50160,50264,53760,600305
4453,"Beer, wine, and liquor stores",3590,3747,4017,4075,4357,4423,4692,4421,4371,4372,4605,5963,52633
446,Health and personal care stores,26174,26842,28427,27063,27598,27452,26564,27922,27141,26607,26725,30692,329207
44611,Pharmacies and drug stores,22164,22393,23550,22648,23088,22694,22158,22994,22222,22115,21881,24528,272435
