NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",448171,451209,451274,454231,455753,460563,459744,460198,463045,465368,466974,470996,5507526
,Retail sales and food services excl motor vehicle and parts,355830,357568,359134,361264,362976,367287,364969,364986,366982,368817,370080,371094,4370987
,"Retail sales, total",395246,396930,397086,399739,401076,405580,404835,404897,407368,410018,410981,415639,4849395
,"Retail sales, total (excl. motor vehicle and parts dealers)",302905,303289,304946,306772,308299,312304,310060,309685,311305,313467,314087,315737,3712856
,GAFO(1),103796,105118,104971,104905,105213,105498,104960,104769,104394,104774,104754,104428,1257580
441,Motor vehicle and parts dealers,92341,93641,92140,92967,92777,93276,94775,95212,96063,96551,96894,99902,1136539
"4411,4412",Automobile and other motor vehicle dealers,84658,86109,84677,85511,85325,85774,87354,87740,88609,89054,89492,91962,1046265
4413,"Automotive parts, acc., and tire stores",7683,7532,7463,7456,7452,7502,7421,7472,7454,7497,7402,7940,90274
442443,"Furniture, home furn, electronics, and appliance stores",17168,17347,17278,17242,17362,17396,17365,17331,17431,17219,17211,17090,207440
442,Furniture and home furnishings stores,9033,9080,9043,9105,9147,9252,9188,9112,9408,9301,9254,9169,110092
443,Electronics and appliance stores,8135,8267,8235,8137,8215,8144,8177,8219,8023,7918,7957,7921,97348
44312,Computer and software stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),0
444,Building mat. and garden equip. and supplies dealers,28938,29117,29628,28621,28090,29284,28966,28986,29186,29530,29873,30155,350374
4441,Building mat. and supplies dealers,25140,25357,25673,24971,24668,25574,25376,25369,25458,25850,26150,26334,305920
445,Food and beverage stores,57788,57740,57406,58015,58269,58429,58201,58352,58658,58859,58989,58769,699475
4451,Grocery stores,51772,51590,51310,51925,52090,52224,51981,52153,52368,52529,52589,52688,625219
4453,"Beer, wine and liquor stores",4233,4317,4301,4308,4366,4397,4402,4395,4460,4470,4532,4235,52416
446,Health and personal care stores,26900,27362,27281,27475,27515,27646,27527,27509,27554,27012,27270,27209,328260
44611,Pharmacies and drug stores,22479,22780,22601,22900,22859,22877,22890,22744,22629,22338,22373,22278,271748
447,Gasoline stations,33467,31666,33034,33873,34700,35947,35172,34661,35534,36198,36280,37450,417982
448,Clothing and clothing access. stores,21126,21535,21242,21246,21451,21428,21369,21533,21540,21497,21537,21524,257028
4481,Clothing stores,15385,15590,15393,15383,15475,15532,15463,15596,15593,15550,15488,15521,185969
44811,Men's clothing stores(4),712,725,708,719,724,728,713,730,726,713,723,716,8637
44812,Women's clothing stores,3432,3470,3415,3401,3377,3367,3328,3408,3341,3307,3325,3271,40442
4482,Shoe stores,2933,3039,2938,2960,3005,3008,3017,3024,3023,2982,3021,3023,35973
44831,Jewelry stores,2609,2676,2678,2673,2751,2677,2678,2696,2711,2743,2802,2770,32464
451,"Sporting goods, hobby, book, and music stores",7242,7480,7512,7472,7529,7800,7486,7209,7342,7291,7180,7124,88667
452,General merchandise stores,55657,56166,56337,56303,56245,56276,56182,56147,55556,56272,56328,56210,673679
4521,Department stores (excl. L.D.),13101,13275,13127,13067,12961,13035,12817,12758,12667,12570,12572,12507,154457
4529,Other general merchandise stores,42556,42891,43210,43236,43284,43241,43365,43389,42889,43702,43756,43703,519222
45291,Warehouse clubs and superstores,36740,37037,37401,37422,37458,37375,37489,37496,37036,37779,37813,37830,448876
45299,All other gen. merchandise stores,5816,5854,5809,5814,5826,5866,5876,5893,5853,5923,5943,5873,70346
453,Miscellaneous stores retailers,10156,10082,10278,10602,10449,10502,10468,10367,10684,10767,10668,10670,125693
454,Nonstore retailers,44463,44794,44950,45923,46689,47596,47324,47590,47820,48822,48751,49536,564258
4541,Electronic shopping and mail order houses,38339,38739,39093,39651,40256,41176,41047,41426,41603,42521,42615,42930,489396
45431,Fuel dealers,2034,2011,1760,2110,2189,2198,2104,2071,2045,2145,2085,2495,25247
722,Food services and drinking places,52925,54279,54188,54492,54677,54983,54909,55301,55677,55350,55993,55357,658131
