NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",398163,388155,446027,439653,464454,449893,459646,457996,432978,446815,446500,520228,5350508
,Retail sales and food services excl motor vehicle and parts,319694,308559,349485,345890,366857,355114,361757,359982,342072,356383,362394,426909,4255096
,"Retail sales, total",350228,341593,392959,387424,409111,397913,406560,404867,382242,392786,396212,465532,4727427
,"Retail sales, total (excl. motor vehicle and parts dealers)",271759,261997,296417,293661,311514,303134,308671,306853,291336,302354,312106,372213,3632015
,GAFO(1),90178,90362,101213,97260,105713,99905,102234,107523,97610,102772,114471,149288,1258529
441,Motor vehicle and parts dealers,78469,79596,96542,93763,97597,94779,97889,98014,90906,90432,84106,93319,1095412
"4411,4412",Automobile and other motor vehicle dealers,71917,72944,88921,86168,90040,86831,89816,90292,83434,82621,76900,86195,1006079
4411,Automobile dealers,68444,68972,82719,79586,82991,79863,83487,84548,78164,77826,73172,81567,941339
44111,New car dealers,60985,59833,73317,70531,74353,71427,75008,76096,70389,69836,65920,74425,842120
44112,Used car dealers,7459,9139,9402,9055,8638,8436,8479,8452,7775,7990,7252,7142,99219
4413,"Automotive parts, acc., and tire stores",6552,6652,7621,7595,7557,7948,8073,7722,7472,7811,7206,7124,89333
442443,"Furniture, home furn, electronics, and appliance stores",16053,15319,16623,15534,16690,16712,17174,17392,17146,17116,19642,23486,208887
442,Furniture and home furnishings stores,7974,7537,8647,8298,8934,8613,9147,9174,8983,9110,9471,10891,106779
4421,Furniture stores,4440,4279,4787,4405,4915,4677,4853,4991,5050,4900,4945,5156,57398
4422,Home furnishings stores,3534,3258,3860,3893,4019,3936,4294,4183,3933,4210,4526,5735,49381
44221,Floor covering stores,1375,1296,1522,1635,1626,1639,1755,1705,1617,1744,1540,1620,19074
442299,All other home furnishings stores,2034,1833,2181,2113,2247,2157,2404,2345,2181,2328,2853,3980,28656
443,Electronics and appliance stores,8079,7782,7976,7236,7756,8099,8027,8218,8163,8006,10171,12595,102108
44311,"Appl.,TV, and other elect. stores",5623,5490,5684,5214,5650,5733,5848,6047,5833,5709,7089,8683,72603
443111,Household appliance stores,1266,1244,1409,1330,1506,1515,1526,1416,1446,1376,1523,1571,17128
443112,"Radio, T.V., and other elect. stores",4357,4246,4275,3884,4144,4218,4322,4631,4387,4333,5566,7112,55475
44312,Computer and software stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
444,Building mat. and garden equip. and supplies dealers,21140,19888,26471,31433,33180,31590,30562,27787,27564,28386,26744,26899,331644
4441,Building mat. and supplies dealers,18835,17651,22999,25792,27092,26836,26897,24661,24559,24999,23705,23592,287618
44412,Paint and wallpaper stores,691,675,868,935,955,1059,1057,1005,989,960,776,740,10710
44413,Hardware stores,1708,1635,1933,2093,2201,2073,2007,1963,1808,1995,1818,1871,23105
445,Food and beverage stores,56545,51951,56513,55484,59083,56635,59114,57796,55651,57594,57029,62173,685568
4451,Grocery stores,51371,46897,50922,49816,52876,50603,52731,51738,49871,51610,50997,53793,613225
44511,Supermarkets and other grocery (except convenience) stores,49505,45083,48861,47710,50552,48307,50325,49458,47725,49493,49018,51844,587881
