NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
4453,"Beer, wine, and liquor stores",3580,3493,3870,3881,4351,4232,4548,4272,4081,4277,4265,5808,50658
446,Health and personal care stores,25689,24108,26843,25623,25560,25787,25957,25882,26285,26813,25963,30747,315257
44611,Pharmacies and drug stores,21710,20079,22360,21545,21455,21484,21770,21532,22020,22631,21652,25230,263468
447,Gasoline stations,32440,31573,36758,37051,41230,41797,42852,40913,36614,37007,33004,32578,443817
448,Clothing and clothing access. stores,15774,17994,20775,20411,22170,19687,20577,22315,19146,20617,23058,33307,255831
4481,Clothing stores,11627,12611,15530,15151,16208,14617,15260,16201,14305,15534,17373,22712,187129
44811,Men's clothing stores,582,633,699,768,800,716,661,712,690,742,749,1049,8801
44812,Women's clothing stores,2508,2760,3546,3456,3745,3230,3177,3378,3158,3444,3709,4900,41011
44814,Family clothing stores,6043,6545,8177,8065,8667,7866,8511,8810,7746,8566,9806,12555,101357
44819,Other clothing stores,1272,1289,1459,1347,1363,1402,1349,1505,1261,1283,1378,1880,16788
4482,Shoe stores,2059,2592,2934,2751,2884,2539,2879,3660,2603,2704,2870,4046,34521
44831,Jewelry stores,1884,2608,2125,2291,2843,2343,2226,2258,2045,2179,2602,6101,31505
451,"Sporting goods, hobby, book, and music stores",6392,5570,6670,6363,6770,6856,6930,8048,7003,6590,7781,12382,87355
45111,Sporting goods stores,2848,2842,3705,3587,3843,4112,4112,4336,3646,3412,3811,6099,46353
45112,"Hobby, toy, and game stores",1125,1154,1317,1218,1229,1151,1187,1194,1279,1430,2166,3572,18022
451211,Book stores,1479,682,655,651,750,683,695,1545,1069,728,735,1337,11009
452,General merchandise stores,49497,49169,54769,52525,57562,54245,54938,56780,51699,55672,61534,76538,674928
4521,Department stores (excl. L.D),10771,11201,13137,12311,13644,12506,12493,13581,11964,12869,16225,23329,164031
452112,Discount dept. stores (excl. L.D),7252,7236,8569,7712,8605,8190,8321,9111,7667,8350,10112,13967,105092
452111,"Department stores(excl. discount department stores, excl. L.D.)",3519,3965,4568,4599,5039,4316,4172,4470,4297,4519,6113,9362,58939
4521,Department stores (incl. L.D.)(2),10930,11365,13320,12477,13847,12675,12652,13755,12118,13039,16490,23739,166407
452112,Discount dept. stores (incl. L.D.)(2),7270,7257,8585,7712,8611,8190,8321,9125,7667,8350,10158,14031,105277
452111,"Department stores(excl. discount department stores, incl. L.D.)(2)",3660,4108,4735,4765,5236,4485,4331,4630,4451,4689,6332,9708,61130
4529,Other general merchandise stores,38726,37968,41632,40214,43918,41739,42445,43199,39735,42803,45309,53209,510897
45291,Warehouse clubs and superstores,33900,32880,35950,34705,37939,36059,36775,37618,34295,36931,39216,45473,441741
45299,All other gen. merchandise stores,4826,5088,5682,5509,5979,5680,5670,5581,5440,5872,6093,7736,69156
453,Miscellaneous store retailers,8695,8569,9366,9463,10580,10465,10470,10535,9852,10513,9558,11395,119461
4532,"Office supplies, stationery, and gift stores",2462,2310,2376,2427,2521,2405,2615,2988,2616,2777,2456,3575,31528
45321,Office supplies and stationery stores,1432,1221,1194,1162,1103,1055,1159,1584,1313,1148,1072,1285,14728
45322,"Gift, novelty, and souvenir stores",1030,1089,1182,1265,1418,1350,1456,1404,1303,1629,1384,2290,16800
45330,Used merchandise stores,1244,1191,1418,1369,1427,1395,1518,1566,1482,1617,1397,1420,17044
454,Nonstore retailers,39534,37856,41629,39774,38689,39360,40097,39405,40376,42046,47793,62708,509267
4541,Electronic shopping and mail-order houses,31741,29933,34096,33521,33188,33793,34616,34257,34855,35928,41812,55952,433692
45431,Fuel dealers,4492,4661,3734,2255,1645,1517,1507,1439,1615,2090,2170,2586,29711
722,Food services and drinking places,47935,46562,53068,52229,55343,51980,53086,53129,50736,54029,50288,54696,623081
7221,Full service restaurants,21813,20999,23756,22563,24348,22538,22903,23017,21325,23095,21814,24721,272892
7222,Limited service eating places,20255,19585,22833,22820,24051,23259,23886,23636,22159,23328,21924,23375,271111
7224,Drinking places,1771,1712,1982,1853,2003,1854,1950,1948,1835,1968,1847,1961,22684
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
