NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December
45330,Used merchandise stores,1365,1400,1607,1499,1586,1522,1585,1673,1647,13884,12510,
454,Nonstore retailers,47658,44570,51295,47069,50556,49081,47824,50551,47807,436411,396029,
4541,Electronic shopping and mail-order houses,40364,37891,44061,41275,44373,43294,42584,44733,42028,380603,340830,
45431,Fuel dealers,3520,2972,2944,1838,1647,1403,1266,1479,1617,18686,17675,
722,Food services and drinking places,52437,52093,59255,57537,58972,57423,57228,57197,55709,507851,493795,
7221,Full service restaurants,23496,23343,26337,25356,25764,25080,24979,24781,23701,222837,216226,
7222,Limited service eating places,22700,22160,25566,24818,25902,25658,25852,25739,24237,222632,216275,
7224,Drinking places,2062,2066,2426,2282,2368,2294,2372,2325,2434,20629,17713,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
