Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,lat,lon,captial
North Cyprus,61,5.8099999428,5.8973664649,5.7226334207,1.3469113111,1.1863033772,0.8346472383,0.4712036252,0.2668457031,0.1553533524,1.5491576195,#N/A,#N/A,#N/A
Slovenia,62,5.757999897,5.84222516,5.673774634,1.3412059546,1.4525188208,0.790828228,0.5725758076,0.2426490933,0.0451289788,1.3133172989,46.04,14.33,Ljubljana
Peru,63,5.7150001526,5.8119467786,5.6180535266,1.0352252722,1.2187703848,0.6301661134,0.4500028789,0.1268197149,0.0470490865,2.2072694302,-12,-77,Lima
Mauritius,64,5.6290001869,5.7298621917,5.5281381822,1.1893955469,1.2095609903,0.638007462,0.4912473261,0.3609337509,0.0421815552,1.6975839138,#N/A,#N/A,#N/A
Cyprus,65,5.6209998131,5.7146926993,5.5273069268,1.355938077,1.1313632727,0.8447147012,0.3551115394,0.2712543011,0.0412379764,1.6212491989,#N/A,#N/A,#N/A
Estonia,66,5.611000061,5.6881398742,5.5338602479,1.3208793402,1.4766710997,0.6951683164,0.4791314304,0.0988908112,0.1832489222,1.3575086594,#N/A,#N/A,#N/A
Belarus,67,5.5689997673,5.646114244,5.4918852906,1.15655756,1.4449452162,0.6377142668,0.2954002619,0.1551375091,0.1563138217,1.7232329845,#N/A,#N/A,#N/A
Libya,68,5.5250000954,5.6769538069,5.3730463839,1.1018030643,1.3575643301,0.5201690197,0.4657332301,0.1520736665,0.0926102102,1.8350112438,#N/A,#N/A,#N/A
Turkey,69,5.5,5.5948649633,5.4051350367,1.198274374,1.3377531767,0.6376056075,0.3007405996,0.0466930419,0.0996715799,1.8792779446,39.57,32.54,Ankara
Paraguay,70,5.4930000305,5.5773812696,5.4086187914,0.9325373173,1.5072848797,0.5792506933,0.4735077918,0.2241506577,0.0910659134,1.6853334904,-25.1,-57.3,Asuncion
"Hong Kong S.A.R., China",71,5.4720001221,5.5495941731,5.394406071,1.5516748428,1.2627909184,0.9430624247,0.4909686446,0.3744657934,0.2939337492,0.5546331406,#N/A,#N/A,#N/A
Philippines,72,5.4299998283,5.5453350542,5.3146646024,0.8576992154,1.2539175749,0.4680090547,0.5852146745,0.1935134232,0.099331893,1.9726047516,14.4,121.03,Manila
Serbia,73,5.3949999809,5.4915696561,5.2984303057,1.0693175793,1.2581897974,0.6507846713,0.2087155282,0.2201258838,0.0409037806,1.9470844269,#N/A,#N/A,#N/A
Jordan,74,5.3359999657,5.4484100224,5.2235899089,0.9910123944,1.2390888929,0.6045900583,0.4184211493,0.1721704602,0.1198032722,1.7911765575,31.57,35.52,Amman
Hungary,75,5.3239998817,5.4030397092,5.2449600543,1.2860119343,1.3431330919,0.6877634525,0.1758635193,0.0784016624,0.0366369374,1.7164592743,47.29,19.05,Budapest
Jamaica,76,5.3109998703,5.5813987285,5.0406010121,0.9255793095,1.3682180643,0.6410223842,0.4743072391,0.2338183373,0.055267781,1.6123256683,18,-76.5,Kingston
Croatia,77,5.2930002213,5.3917772046,5.1942232379,1.2225562334,0.9679830074,0.7012885213,0.2557722926,0.2480029762,0.04310311,1.8544924259,#N/A,#N/A,#N/A
Kosovo,78,5.2789998055,5.3648479955,5.1931516154,0.9514843822,1.1378535032,0.5414520502,0.2602879405,0.3199314475,0.0574716181,2.0105407238,#N/A,#N/A,#N/A
China,79,5.2729997635,5.3192780898,5.2267214372,1.0811657906,1.1608374119,0.7414155006,0.472787708,0.028806841,0.0227942746,1.7649385929,#N/A,#N/A,#N/A
Pakistan,80,5.2690000534,5.3599836414,5.1780164655,0.7268835306,0.6726906896,0.4020477831,0.2352152616,0.3154460192,0.1243480667,2.7924892902,33.4,73.1,Islamabad
Indonesia,81,5.2620000839,5.3528885981,5.1711115697,0.9955385923,1.2744446993,0.4923457205,0.4433234632,0.6117045879,0.0153171355,1.4294769764,-6.09,106.49,Jakarta
Venezuela,82,5.25,5.3700319456,5.1299680544,1.128431201,1.431337595,0.617144227,0.1539971232,0.0650196299,0.064491123,1.7894637585,10.3,-66.55,Caracas
Montenegro,83,5.2369999886,5.3410444406,5.1329555365,1.1211290359,1.2383764982,0.6674646735,0.1949890554,0.1979110241,0.0881741941,1.7291915417,#N/A,#N/A,#N/A
Morocco,84,5.2350001335,5.3183409648,5.1516593023,0.8781145811,0.7748644352,0.597710669,0.4081583321,0.0322099552,0.0877631828,2.456189394,#N/A,#N/A,#N/A
Azerbaijan,85,5.234000206,5.2992865352,5.1687138768,1.1536017656,1.1524002552,0.5407757759,0.3981558383,0.0452693403,0.1809875071,1.7624816895,#N/A,#N/A,#N/A
Dominican Republic,86,5.2300000191,5.3490608852,5.110939153,1.0793738365,1.4024167061,0.5748737454,0.5525898337,0.1869678497,0.1139452532,1.3194651604,#N/A,#N/A,#N/A
Greece,87,5.2270002365,5.3252461694,5.1287543036,1.2894874811,1.2394145727,0.8101989031,0.0957312509,0,0.0432897769,1.7492215633,#N/A,#N/A,#N/A
Lebanon,88,5.2249999046,5.3188822885,5.1311175208,1.0749875307,1.1296242476,0.7350810766,0.288515985,0.2644507587,0.0375138298,1.695073843,33.53,35.31,Beirut
